hlpi_name,year,hlpi,nzhec,nzhec_name,nzhec_short,level,nzhec1,nzhec1_name,nzhec1_short,weight,exp_pw,eqv_exp_pw,,,
All households,2008,allhh,1,Food,Food,group,1,Food,Food,18,146.4,86.8,,,
All households,2008,allhh,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,2.6,21.1,12.5,,,
All households,2008,allhh,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,3.1,25.2,14.9,,,
All households,2008,allhh,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,7.4,60.2,35.7,,,
All households,2008,allhh,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,1.7,13.8,8.2,,,
All households,2008,allhh,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,3.1,25.2,14.9,,,
All households,2008,allhh,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,6,48.8,28.9,,,
All households,2008,allhh,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,3.7,30.1,17.8,,,
All households,2008,allhh,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,2.2,17.9,10.6,,,
All households,2008,allhh,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,3.4,27.6,16.4,,,
All households,2008,allhh,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,2.7,22,13,,,
All households,2008,allhh,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.8,6.5,3.9,,,
All households,2008,allhh,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,19.9,161.8,95.9,,,
All households,2008,allhh,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,9.4,76.4,45.3,,,
All households,2008,allhh,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,1.8,14.6,8.7,,,
All households,2008,allhh,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,3.5,28.5,16.9,,,
All households,2008,allhh,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,5.2,42.3,25.1,,,
All households,2008,allhh,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,4.7,38.2,22.7,,,
All households,2008,allhh,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,1.5,12.2,7.2,,,
All households,2008,allhh,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.4,3.3,1.9,,,
All households,2008,allhh,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,1.2,9.8,5.8,,,
All households,2008,allhh,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.2,1.6,1,,,
All households,2008,allhh,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.5,4.1,2.4,,,
All households,2008,allhh,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.9,7.3,4.3,,,
All households,2008,allhh,6,Health,Health,group,6,Health,Health,4.1,33.3,19.8,,,
All households,2008,allhh,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,1,8.1,4.8,,,
All households,2008,allhh,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,2.7,22,13,,,
All households,2008,allhh,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.3,2.4,1.5,,,
All households,2008,allhh,7,Transport,Transport,group,7,Transport,Transport,13.6,110.6,65.6,,,
All households,2008,allhh,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,2.1,17.1,10.1,,,
All households,2008,allhh,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,9,73.2,43.4,,,
All households,2008,allhh,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,2.5,20.3,12.1,,,
